"code_station","lat_deg_dec","long_deg_dec","code_lot_materiel","taxname_lot","date_identification_lot","code_ind_tri_morpho","taxname_ind","date_identification_ind","code_ind_biomol","code_sqc_ass","code_sqc_alignement","statut_sqc_ass","date_creation_sqc_ass","taxname_sqc","date_identification_sqc_ass"
"ETGDOUA","45.779916","4.867144","ASELLUS_AQUATICUS|ETGDOUA_201007","ASELLUS_AQUATICUS","2010-07-01","ASELLUS_AQUATICUS|ETGDOUA_201007[SIL]Aaq_TemDE3","ASELLUS_AQUATICUS","2010-07-01","Aaquaticus|ETGDOUA_201006_temDE3","","","","","",""
"ETGDOUA","45.779916","4.867144","ASELLUS_AQUATICUS|ETGDOUA_201111","ASELLUS_AQUATICUS","2011-11-01","ASELLUS_AQUATICUS|ETGDOUA_201111[1]AAD1","ASELLUS_AQUATICUS","2011-11-01","Aaquaticus|ETGDOUA_201111_1ID","Aaquaticus|ETGDOUA_201111_1ID_YAB588|16SarDr","Aaquaticus|ETGDOUA_201111_1ID_YAB588|16SarDr","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15"
"ETGDOUA","45.779916","4.867144","ASELLUS_AQUATICUS|ETGDOUA_201111","ASELLUS_AQUATICUS","2011-11-01","ASELLUS_AQUATICUS|ETGDOUA_201111[1]AAD1","ASELLUS_AQUATICUS","2011-11-01","Aaquaticus|ETGDOUA_201111_1ID","Aaquaticus|ETGDOUA_201111_1ID_YAB589|COIHCO2198","Aaquaticus|ETGDOUA_201111_1ID_YAB589|COIHCO2198","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15"
"ETGDOUA","45.779916","4.867144","ASELLUS_AQUATICUS|ETGDOUA_201111","ASELLUS_AQUATICUS","2011-11-01","ASELLUS_AQUATICUS|ETGDOUA_201111[1]AAD1","ASELLUS_AQUATICUS","2011-11-01","Aaquaticus|ETGDOUA_201111_1ID","Aaquaticus|ETGDOUA_201111_1ID_YAB591|28Slev2","Aaquaticus|ETGDOUA_201111_1ID_YAB591|28Slev2","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15"
"ETGDOUA","45.779916","4.867144","ASELLUS_AQUATICUS|ETGDOUA_201111","ASELLUS_AQUATICUS","2011-11-01","ASELLUS_AQUATICUS|ETGDOUA_201111[B]AAD2","ASELLUS_AQUATICUS","2011-11-01","Aaquaticus|ETGDOUA_201111_2","Aaquaticus|ETGDOUA_201111_2_YAC795|AM4R2","Aaquaticus|ETGDOUA_201111_2_YAC795|AM4R2","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15"
"ETGDOUA","45.779916","4.867144","ASELLUS_AQUATICUS|ETGDOUA_201610","ASELLUS_AQUATICUS","2016-10-01","ASELLUS_AQUATICUS|ETGDOUA_201610[CRYO_M5]arnAAD3","ASELLUS_AQUATICUS","2016-10-01","Aaquaticus|ETGDOUA_201610_3arn","Aaquaticus|ETGDOUA_201610_3arn_YAF242|16SStenaR1","Aaquaticus|ETGDOUA_201610_3arn_YAF242|16SStenaR1","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15"
"ETGDOUA","45.779916","4.867144","ASELLUS_AQUATICUS|ETGDOUA_201610","ASELLUS_AQUATICUS","2016-10-01","ASELLUS_AQUATICUS|ETGDOUA_201610[CRYO_M8]arnAAD4","ASELLUS_AQUATICUS","2016-10-01","Aaquaticus|ETGDOUA_201610_4arn","Aaquaticus|ETGDOUA_201610_4arn_YAF243|16SStenaR1","Aaquaticus|ETGDOUA_201610_4arn_YAF243|16SStenaR1","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15"
"ETGDOUA","45.779916","4.867144","ASELLUS_AQUATICUS|ETGDOUA_201610","ASELLUS_AQUATICUS","2016-10-01","ASELLUS_AQUATICUS|ETGDOUA_201610[CRYO_M7]arnAAD5","ASELLUS_AQUATICUS","2016-10-01","Aaquaticus|ETGDOUA_201610_5arn","Aaquaticus|ETGDOUA_201610_5arn_YAF244|16SStenaR1","Aaquaticus|ETGDOUA_201610_5arn_YAF244|16SStenaR1","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15"
"ETGDOUA","45.779916","4.867144","ASELLUS_AQUATICUS|ETGDOUA_201610","ASELLUS_AQUATICUS","2016-10-01","ASELLUS_AQUATICUS|ETGDOUA_201610[CRYO_F2]arnAAD6","ASELLUS_AQUATICUS","2016-10-01","Aaquaticus|ETGDOUA_201610_6arn","Aaquaticus|ETGDOUA_201610_6arn_YAF245|16SStenaR1","Aaquaticus|ETGDOUA_201610_6arn_YAF245|16SStenaR1","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15"
"ETGDOUA","45.779916","4.867144","ASELLUS_AQUATICUS|ETGDOUA_201610","ASELLUS_AQUATICUS","2016-10-01","ASELLUS_AQUATICUS|ETGDOUA_201610[CRYO_F3]arnAAD7","ASELLUS_AQUATICUS","2016-10-01","Aaquaticus|ETGDOUA_201610_7arn","Aaquaticus|ETGDOUA_201610_7arn_YAF246|16SStenaR1","Aaquaticus|ETGDOUA_201610_7arn_YAF246|16SStenaR1","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15"
