"liste_gene_cible_par_individu","code_station","lat_deg_dec","long_deg_dec","code_lot_materiel","taxname_lot","code_ind_tri_morpho","code_ind_biomol","taxname_sqc_ass"
"COI;16S;COI;AM4;28S","DROEURRE","44.74124","4.94716","PROASELLUS_WALTERI|DROEURRE_201204","PROASELLUS_WALTERI","PROASELLUS_WALTERI|DROEURRE_201204[INCONNU]W0848","Pwalteri|DROEURRE_201204_W0848","PROASELLUS_SYNASELLOIDES"
"16S;COI;28S;AM4","DROLABAT","44.511897","5.622011","PROASELLUS_WALTERI|DROLABAT_201004","PROASELLUS_WALTERI","PROASELLUS_WALTERI|DROLABAT_201004[1]PWDLB1","Pwalteri|DROLABAT_201004_1","PROASELLUS_WALTERI"
"AM4;16S;COI;28S","DROSATO2","39.735146","19.740992","PROASELLUS_COXALIS|DROSATO2_201203","PROASELLUS_COXALIS","PROASELLUS_COXALIS|DROSATO2_201203[A1]PCoDr1","Pcoxalis|DROSATO2_201203_1ID","PROASELLUS_COXALIS"
"AM4;COI;16S;28S","EBENTAL","45.728558","14.872686","PROASELLUS_SP|EBENTAL_201407","PROASELLUS_SP","PROASELLUS_SP|EBENTAL_201407[B1]PspEb1","Psp|EBENTAL_201407_1","PROASELLUS_SLOVENICUS"
"AM4;28S;COI;16S","EBENTAL","45.728558","14.872686","PROASELLUS_SP|EBENTAL_201407","PROASELLUS_SP","PROASELLUS_SP|EBENTAL_201407[B2]PspEb2","Psp|EBENTAL_201407_2","PROASELLUS_SLOVENICUS"
"28S;AM4;AM4;16S;COI;28S","EBRON","40.14534","-1.31605","STENASELLUS_VIREI_ROUCHI|EBRON_200910","STENASELLUS_VIREI_ROUCHI","STENASELLUS_VIREI_ROUCHI|EBRON_200910[1v]SVRE1","Svireirouchi|EBRON_200910_1ID","STENASELLUS_VIREI_ROUCHI"
"COI;16S;28S;AM4","EBRON","40.14534","-1.31605","PROASELLUS_MARGALEFI_CF|EBRON_200910","PROASELLUS_MARGALEFI_CF","PROASELLUS_MARGALEFI_CF|EBRON_200910[B]PMaE1","PmargalefiCF|EBRON_200910_1","PROASELLUS_MARGALEFI"
"AM4;28S;16S;COI","EPISKOPI","39.55809","20.866888","PROASELLUS_MONODI|EPISKOPI_201203","PROASELLUS_MONODI","PROASELLUS_MONODI|EPISKOPI_201203[A2]PMoE2","Pmonodi|EPISKOPI_201203_2ID","PROASELLUS_MONODI"
"28S;28S;16S;AM4;COI;OPS2","ETCHEVE","43.13806","-1.200278","PROASELLUS_SPELAEUS|ETCHEVE_200811","PROASELLUS_SPELAEUS","PROASELLUS_SPELAEUS|ETCHEVE_200811[A]PSSE1","Pspelaeus|ETCHEVE_200811_1","PROASELLUS_N_SP_ETCHEBERRIGARAY"
"AM4;16S;COI;COI;28S;28S","ETCHEVE","43.13806","-1.200278","PROASELLUS_SPELAEUS|ETCHEVE_200811","PROASELLUS_SPELAEUS","PROASELLUS_SPELAEUS|ETCHEVE_200811[B]PSSE2","Pspelaeus|ETCHEVE_200811_2","PROASELLUS_N_SP_ETCHEBERRIGARAY"
